Time (DK),n (dage),Median range (pt),Range ($),Median |beveg.| (pt),"Gns. afkast (pt,±)",Median max-op (pt),Median max-ned (pt),Churn (pt),Range p90 (pt),Andel store,Bias,Vurdering
00:00-01:00,522,10.5,52.0,3.75,0.45,4.5,4.5,35.0,26.23,45.0,neutral,🟡 moderat
01:00-02:00,522,8.5,42.0,3.0,0.06,3.5,3.25,30.75,21.0,26.0,neutral,🔴 for stille
02:00-03:00,522,9.25,46.0,4.0,0.5,4.0,3.62,33.5,22.73,34.0,neutral,"🔴 for stille, inkonsistent"
03:00-04:00,522,7.5,38.0,3.0,0.47,3.25,3.5,30.25,18.23,18.0,neutral,🔴 for stille
04:00-05:00,522,6.5,32.0,2.75,-0.46,2.5,2.88,25.38,14.75,11.0,neutral,🔴 for stille
05:00-06:00,522,5.75,29.0,2.25,0.06,2.75,2.25,22.75,14.23,5.0,neutral,🔴 for stille
06:00-07:00,523,5.75,29.0,2.5,-0.41,2.5,2.5,22.25,14.45,6.0,neutral,🔴 for stille
07:00-08:00,523,7.0,35.0,3.0,-0.01,3.0,3.0,27.5,17.0,15.0,neutral,🔴 for stille
08:00-09:00,523,8.75,44.0,3.75,0.4,3.75,3.5,33.75,19.95,23.0,neutral,🔴 for stille
09:00-10:00,523,11.75,59.0,5.0,0.72,5.25,4.75,44.75,25.25,55.0,LONG,🟡 moderat
10:00-11:00,523,10.25,51.0,4.5,0.04,4.5,4.25,40.5,23.0,43.0,neutral,🟡 moderat
11:00-12:00,523,8.75,44.0,3.25,0.22,3.75,3.75,34.5,18.5,22.0,neutral,🔴 for stille
12:00-13:00,523,9.0,45.0,3.5,0.25,4.0,3.75,34.0,21.5,30.0,neutral,"🔴 for stille, inkonsistent"
13:00-14:00,523,10.25,51.0,4.25,-0.34,4.5,4.5,39.25,27.0,43.0,neutral,🟡 moderat
14:00-15:00,523,14.5,72.0,6.0,0.47,6.0,5.75,51.25,38.5,65.0,LONG,🟡 moderat
15:00-16:00,522,24.12,121.0,10.5,0.3,10.12,9.75,82.88,47.73,98.0,LONG,"🟢 staerk, konsistent"
16:00-17:00,521,25.75,129.0,11.25,-0.2,10.25,10.5,93.75,52.0,96.0,LONG,"🟢 staerk, konsistent"
17:00-18:00,521,19.5,98.0,8.0,-0.07,8.5,8.25,77.25,40.75,93.0,LONG,"🟢 staerk, konsistent"
18:00-19:00,521,17.5,88.0,6.75,-0.45,7.0,7.5,65.25,37.0,85.0,neutral,"🟢 staerk, konsistent"
19:00-20:00,501,16.5,82.0,6.75,2.21,7.75,6.5,65.75,37.5,82.0,LONG,"🟢 staerk, konsistent"
20:00-21:00,501,17.0,85.0,6.5,-1.16,6.5,7.0,63.75,38.0,75.0,neutral,"🟢 staerk, konsistent"
21:00-22:00,501,17.75,89.0,7.25,0.25,7.75,7.25,66.5,41.75,83.0,neutral,"🟢 staerk, konsistent"
22:00-23:00,461,9.25,46.0,3.5,-0.29,4.0,4.5,32.25,26.0,34.0,neutral,"🔴 for stille, inkonsistent"
23:00-00:00,40,15.5,78.0,6.62,-0.7,5.0,5.75,47.5,32.08,15.0,SHORT,"🟡 moderat, inkonsistent"
