ugedag,Time (DK),dk_hour,n,range_med,abs_move_med,net_med,bias,vurdering
Mandag,00:00-01:00,0,106,17.875,5.0,1.125,LONG,🟢
Mandag,01:00-02:00,1,106,10.125,4.25,0.875,LONG,🟡
Mandag,02:00-03:00,2,106,9.5,4.75,0.5,neutral,🟡
Mandag,03:00-04:00,3,106,8.125,2.625,0.375,neutral,🔴
Mandag,04:00-05:00,4,106,6.375,2.25,-0.75,SHORT,🔴
Mandag,05:00-06:00,5,106,5.5,2.25,0.5,neutral,🔴
Mandag,06:00-07:00,6,106,5.875,2.5,0.375,neutral,🔴
Mandag,07:00-08:00,7,106,6.375,2.625,0.125,neutral,🔴
Mandag,08:00-09:00,8,106,9.125,4.25,0.875,LONG,🟡
Mandag,09:00-10:00,9,106,12.75,6.125,2.5,LONG,🟡
Mandag,10:00-11:00,10,106,10.625,4.625,1.125,LONG,🟡
Mandag,11:00-12:00,11,106,8.5,3.375,0.125,neutral,🔴
Mandag,12:00-13:00,12,106,7.75,3.25,1.0,LONG,🔴
Mandag,13:00-14:00,13,106,9.875,4.5,1.625,LONG,🟡
Mandag,14:00-15:00,14,106,11.5,4.75,2.25,LONG,🟡
Mandag,15:00-16:00,15,106,25.375,9.625,2.125,LONG,🟢
Mandag,16:00-17:00,16,106,23.0,10.25,2.375,LONG,🟢
Mandag,17:00-18:00,17,106,16.875,6.0,1.75,LONG,🟢
Mandag,18:00-19:00,18,106,15.375,5.5,1.0,LONG,🟢
Mandag,19:00-20:00,19,98,14.75,5.375,1.125,LONG,🟢
Mandag,20:00-21:00,20,98,14.0,6.25,0.0,neutral,🟡
Mandag,21:00-22:00,21,98,16.75,7.125,1.75,LONG,🟢
Mandag,22:00-23:00,22,90,8.625,3.5,-0.5,neutral,🔴
Mandag,23:00-00:00,23,8,9.75,6.25,-3.25,SHORT,⚪
Tirsdag,00:00-01:00,0,106,9.5,4.375,-1.5,SHORT,🟡
Tirsdag,01:00-02:00,1,106,7.5,2.625,-0.5,neutral,🔴
Tirsdag,02:00-03:00,2,106,9.25,3.875,-1.0,SHORT,🟡
Tirsdag,03:00-04:00,3,106,8.25,3.125,0.5,neutral,🔴
Tirsdag,04:00-05:00,4,106,7.0,3.0,-0.25,neutral,🔴
Tirsdag,05:00-06:00,5,106,6.0,2.75,-0.125,neutral,🔴
Tirsdag,06:00-07:00,6,106,5.75,3.0,-0.5,neutral,🔴
Tirsdag,07:00-08:00,7,106,7.0,3.25,0.0,neutral,🔴
Tirsdag,08:00-09:00,8,106,8.5,3.625,1.125,LONG,🔴
Tirsdag,09:00-10:00,9,106,12.875,4.875,0.0,neutral,🟡
Tirsdag,10:00-11:00,10,106,10.25,4.5,-0.125,neutral,🟡
Tirsdag,11:00-12:00,11,106,9.0,3.375,-0.125,neutral,🟡
Tirsdag,12:00-13:00,12,106,9.0,3.5,0.625,LONG,🟡
Tirsdag,13:00-14:00,13,106,10.625,3.375,-0.25,neutral,🟡
Tirsdag,14:00-15:00,14,106,13.625,5.0,-0.5,neutral,🟡
Tirsdag,15:00-16:00,15,106,22.0,10.25,1.0,LONG,🟢
Tirsdag,16:00-17:00,16,106,25.75,12.25,-2.0,SHORT,🟢
Tirsdag,17:00-18:00,17,106,18.25,7.0,0.75,LONG,🟢
Tirsdag,18:00-19:00,18,106,17.625,7.625,1.75,LONG,🟢
Tirsdag,19:00-20:00,19,105,16.25,6.5,2.0,LONG,🟢
Tirsdag,20:00-21:00,20,105,15.5,6.5,0.0,neutral,🟢
Tirsdag,21:00-22:00,21,105,17.0,6.75,0.25,neutral,🟢
Tirsdag,22:00-23:00,22,97,8.75,3.0,-1.0,SHORT,🔴
Tirsdag,23:00-00:00,23,8,11.75,5.5,0.375,neutral,⚪
Onsdag,00:00-01:00,0,104,8.5,3.0,0.25,neutral,🔴
Onsdag,01:00-02:00,1,104,8.25,3.625,0.375,neutral,🔴
Onsdag,02:00-03:00,2,103,8.0,4.0,0.25,neutral,🔴
Onsdag,03:00-04:00,3,103,7.0,3.25,0.25,neutral,🔴
Onsdag,04:00-05:00,4,103,5.75,2.5,-0.5,neutral,🔴
Onsdag,05:00-06:00,5,103,5.5,2.0,0.25,neutral,🔴
Onsdag,06:00-07:00,6,103,5.25,2.25,0.5,neutral,🔴
Onsdag,07:00-08:00,7,103,6.75,2.75,0.5,neutral,🔴
Onsdag,08:00-09:00,8,103,7.75,2.25,0.5,neutral,🔴
Onsdag,09:00-10:00,9,103,9.75,4.0,1.0,LONG,🟡
