dato,vindue_start,vindue_slut,vindue_dage,daekning_ES,m7_daily_autocorr_ES,m7_continuation_rate_ES,m8_overnight_intraday_ratio_ES,m9_term_ratio_short_long_ES,daekning_NQ,m7_daily_autocorr_NQ,m7_continuation_rate_NQ,m8_overnight_intraday_ratio_NQ,m9_term_ratio_short_long_NQ,daekning_RTY,m7_daily_autocorr_RTY,m7_continuation_rate_RTY,m8_overnight_intraday_ratio_RTY,m9_term_ratio_short_long_RTY,m7_median_indeks,m7_spread_indeks,n_indeks_ok,m10_VR5_ES-RTY,m10_half_life_ES-RTY,m10_VR5_ES-NQ,m10_half_life_ES-NQ,m10_VR5_NQ-RTY,m10_half_life_NQ-RTY,daekning_aktier,m1_gap_follow_through_rate,m2_intraday_autocorr_5min,m3_atr_expansion_ratio,m4_hod_morning_dominated,m5_name_dispersion_pct,m5_breadth_pct_green,aktier_status
2022-05-03,2022-03-22,2022-05-03,30,1.0,-0.1644,,,1.2722,0.0,,,,,0.0,,,,,-0.1644,,1,,,,,,,0.0,,,,,,,UNDER_MIN_COVERAGE
2022-05-04,2022-03-23,2022-05-04,30,1.0,-0.0833,,,1.3963,0.0,,,,,0.0,,,,,-0.0833,,1,,,,,,,0.0,,,,,,,UNDER_MIN_COVERAGE
2022-05-05,2022-03-24,2022-05-05,30,1.0,-0.2572,,,1.4402,0.0,,,,,0.0,,,,,-0.2572,,1,,,,,,,0.0,,,,,,,UNDER_MIN_COVERAGE
2022-05-06,2022-03-25,2022-05-06,30,1.0,-0.2586,,,1.3832,0.0,,,,,0.0,,,,,-0.2586,,1,,,,,,,0.0,,,,,,,UNDER_MIN_COVERAGE
2022-05-09,2022-03-28,2022-05-09,30,1.0,-0.2769,,,1.4157,0.0,,,,,0.0,,,,,-0.2769,,1,,,,,,,0.0,,,,,,,UNDER_MIN_COVERAGE
2022-05-10,2022-03-29,2022-05-10,30,1.0,-0.2871,,,1.3581,0.0,,,,,0.0,,,,,-0.2871,,1,,,,,,,0.0,,,,,,,UNDER_MIN_COVERAGE
2022-05-11,2022-03-30,2022-05-11,30,1.0,-0.2998,,,1.349,0.0,,,,,0.0,,,,,-0.2998,,1,,,,,,,0.0,,,,,,,UNDER_MIN_COVERAGE
2022-05-12,2022-03-31,2022-05-12,30,1.0,-0.2915,,,1.2259,0.0,,,,,0.0,,,,,-0.2915,,1,,,,,,,0.0,,,,,,,UNDER_MIN_COVERAGE
2022-05-13,2022-04-01,2022-05-13,30,1.0,-0.2906,,,1.1954,0.0,,,,,0.0,,,,,-0.2906,,1,,,,,,,0.0,,,,,,,UNDER_MIN_COVERAGE
2022-05-16,2022-04-04,2022-05-16,30,1.0,-0.2698,,,1.2008,0.0,,,,,0.0,,,,,-0.2698,,1,,,,,,,0.0,,,,,,,UNDER_MIN_COVERAGE
2022-05-17,2022-04-05,2022-05-17,30,1.0,-0.2619,,,1.2353,0.0,,,,,0.0,,,,,-0.2619,,1,,,,,,,0.0,,,,,,,UNDER_MIN_COVERAGE
2022-05-18,2022-04-06,2022-05-18,30,1.0,-0.3291,,,1.1536,0.0,,,,,0.0,,,,,-0.3291,,1,,,,,,,0.0,,,,,,,UNDER_MIN_COVERAGE
2022-05-19,2022-04-07,2022-05-19,30,1.0,-0.3036,,,1.0476,0.0,,,,,0.0,,,,,-0.3036,,1,,,,,,,0.0,,,,,,,UNDER_MIN_COVERAGE
2022-05-20,2022-04-08,2022-05-20,30,1.0,-0.2995,,,1.0495,0.0,,,,,0.0,,,,,-0.2995,,1,,,,,,,0.0,,,,,,,UNDER_MIN_COVERAGE
