side,entry_tid,entry_pris,exit_tid,exit_pris,exit_aarsag,bars,kontrakter,ben,kontrakt_periode,rvol_entry,z_entry,atr_entry,stop_variant,hale_ben,point,brutto,omkostning,netto
short,2024-06-28 14:30:00+00:00,5577.5,2024-06-28 14:45:00+00:00,5563.841666666666,target,1,1.0,hoved,kontrakt 0,3.8495890650367244,2.446674958612047,6.250723670312681,z,False,13.658333333333758,68.29166666666879,4.5,63.79166666666879
long,2024-07-01 15:00:00+00:00,5513.25,2024-07-01 16:00:00+00:00,5528.316666666667,target,4,1.0,hoved,kontrakt 0,2.88814450446463,-2.2376462986289902,8.5431175844232,z,False,15.066666666666606,75.33333333333303,4.5,70.83333333333303
long,2024-07-02 02:45:00+00:00,5520.75,2024-07-02 07:00:00+00:00,5515.322458341305,stop,17,1.0,hoved,kontrakt 0,1.521138211382114,-2.011356328049553,3.4701806924029808,z,False,-5.427541658695191,-27.137708293475953,4.5,-31.637708293475953
long,2024-07-02 07:30:00+00:00,5513.25,2024-07-02 07:30:00+00:00,5512.215719738729,stop,0,1.0,hoved,kontrakt 0,3.6767576392092844,-3.159593237575894,3.165920587836076,z,False,-1.0342802612713058,-5.171401306356529,4.5,-9.671401306356529
short,2024-07-02 14:00:00+00:00,5530.5,2024-07-02 14:00:00+00:00,5533.811869593183,stop,0,1.0,hoved,kontrakt 0,6.020161346699663,2.9234077315397866,5.518618878072524,z,False,-3.311869593182564,-16.55934796591282,4.5,-21.05934796591282
short,2024-07-02 14:15:00+00:00,5528.75,2024-07-02 14:30:00+00:00,5535.446470133384,stop,1,1.0,hoved,kontrakt 0,5.727583638271612,2.4524328090073926,6.017288958210202,z,False,-6.696470133383627,-33.48235066691814,4.5,-37.98235066691814
short,2024-07-02 14:45:00+00:00,5532.0,2024-07-02 15:30:00+00:00,5541.449232445287,stop,3,1.0,hoved,kontrakt 0,2.597625250801066,2.2895397498881676,6.133529764987369,z,False,-9.449232445286725,-47.246162226433626,4.5,-51.746162226433626
short,2024-07-03 07:45:00+00:00,5566.5,2024-07-03 08:30:00+00:00,5568.947835828198,stop,3,1.0,hoved,kontrakt 0,2.155787922059975,2.015310896272997,2.1640920045902856,z,False,-2.44783582819764,-12.239179140988199,4.5,-16.7391791409882
short,2024-07-03 09:00:00+00:00,5569.25,2024-07-03 12:00:00+00:00,5564.216666666666,target,12,1.0,hoved,kontrakt 0,2.173230757453975,2.340733646316745,2.4872355318102968,z,False,5.033333333333758,25.16666666666879,4.5,20.66666666666879
short,2024-07-03 14:00:00+00:00,5574.0,2024-07-03 14:00:00+00:00,5578.44928676344,stop,0,1.0,hoved,kontrakt 0,5.552976397084345,2.096981589543676,3.350369618161897,z,False,-4.449286763439886,-22.24643381719943,4.5,-26.74643381719943
short,2024-07-03 14:15:00+00:00,5576.0,2024-07-03 15:15:00+00:00,5579.924720889549,stop,4,1.0,hoved,kontrakt 0,7.1244889082209655,2.373260073959504,4.02177178829319,z,False,-3.924720889548553,-19.623604447742764,4.5,-24.123604447742764
long,2024-07-04 14:15:00+00:00,5586.75,2024-07-04 14:15:00+00:00,5586.106379440293,stop,0,1.0,hoved,kontrakt 0,3.462045201175636,-3.195322211792472,2.001811136518405,z,False,-0.6436205597074149,-3.2181027985370747,4.5,-7.718102798537075
short,2024-07-05 06:45:00+00:00,5598.0,2024-07-05 08:30:00+00:00,5592.525,target,7,1.0,hoved,kontrakt 0,1.9926310248890893,2.593634962841098,1.5849822205740396,z,False,5.475000000000364,27.37500000000182,4.5,22.87500000000182
short,2024-07-08 08:00:00+00:00,5618.25,2024-07-08 08:00:00+00:00,5618.670193746456,stop,0,1.0,hoved,kontrakt 0,1.7420736932305056,3.0264630484879302,2.069438871980775,z,False,-0.4201937464558796,-2.100968732279398,4.5,-6.600968732279398
short,2024-07-08 08:15:00+00:00,5618.5,2024-07-08 08:30:00+00:00,5619.667039966446,stop,1,1.0,hoved,kontrakt 0,1.9157516470353364,2.7917267946248816,2.046621809696434,z,False,-1.167039966446282,-5.83519983223141,4.5,-10.33519983223141
short,2024-07-08 13:15:00+00:00,5628.25,2024-07-08 13:30:00+00:00,5634.042154682638,stop,1,1.0,hoved,kontrakt 0,2.5885408861581496,2.072766375044038,2.0110189127136997,z,False,-5.792154682638284,-28.96077341319142,4.5,-33.46077341319142
short,2024-07-08 13:45:00+00:00,5633.5,2024-07-08 13:45:00+00:00,5636.9923431274465,stop,0,1.0,hoved,kontrakt 0,18.18942596870505,2.755847941772826,2.472511205350078,z,False,-3.4923431274464747,-17.461715637232373,4.5,-21.961715637232373
short,2024-07-10 12:00:00+00:00,5644.0,2024-07-10 14:00:00+00:00,5648.211657161285,stop,8,1.0,hoved,kontrakt 0,2.215937784062216,2.2231864702383115,1.7909084572873262,z,False,-4.211657161285075,-21.058285806425374,4.5,-25.558285806425374
short,2024-07-10 20:00:00+00:00,5686.25,2024-07-11 02:00:00+00:00,5684.0,tid,20,1.0,hoved,kontrakt 0,4.090965228423546,2.1262259820090783,4.837920653004153,z,False,2.25,11.25,4.5,6.75
long,2024-07-11 15:15:00+00:00,5660.75,2024-07-11 15:15:00+00:00,5651.972589191186,stop,0,1.0,hoved,kontrakt 0,2.040495324162782,-2.451888164904231,8.026362697315433,z,False,-8.777410808814238,-43.88705404407119,4.5,-48.38705404407119
long,2024-07-11 15:45:00+00:00,5643.0,2024-07-11 16:00:00+00:00,5635.203410752929,stop,1,1.0,hoved,kontrakt 0,1.9545361328895268,-2.8510305106144034,8.988292325746471,z,False,-7.796589247071097,-38.982946235355485,4.5,-43.482946235355485
short,2024-07-12 14:30:00+00:00,5668.25,2024-07-12 14:30:00+00:00,5669.653687958747,stop,0,1.0,hoved,kontrakt 0,3.5571546019161424,3.30252544411675,6.559116634207539,z,False,-1.4036879587465592,-7.018439793732796,4.5,-11.518439793732796
