split,halvdel,side,blok,taerskel_atr,metrik,vaerdi
IS/OOS,IS,long,hoved,,hverdage,261.0
IS/OOS,IS,long,hoved,,B,24012.0
IS/OOS,IS,long,hoved,,E,1806.0
IS/OOS,IS,long,hoved,,K,112.0
IS/OOS,IS,long,hoved,,Nb,1990.0
IS/OOS,IS,long,hoved,,nb,26.0
IS/OOS,IS,long,hoved,,n_signaler,114.0
IS/OOS,IS,long,hoved,,retning_hit,0.9824561403508771
IS/OOS,IS,long,hoved,,retning_lo,0.9382819730166376
IS/OOS,IS,long,hoved,,retning_hi,0.995175581262329
IS/OOS,IS,long,hoved,,event_rate,0.06201550387596899
IS/OOS,IS,long,hoved,,kontrol_rate,0.01306532663316583
IS/OOS,IS,long,hoved,,enrichment,4.7465712581991655
IS/OOS,IS,long,hoved,,enr_lo,3.112836080958604
IS/OOS,IS,long,hoved,,enr_hi,7.2377530082548605
IS/OOS,IS,long,hoved,,praecision,0.3570009866861441
IS/OOS,IS,long,hoved,,praec_lav,0.28560078934891525
IS/OOS,IS,long,hoved,,praec_hoej,0.4760013155815255
IS/OOS,IS,long,hoved,,basisrate,0.07521239380309845
IS/OOS,IS,long,hoved,,median_size_atr,3.986026897713031
IS/OOS,IS,long,hoved,,median_size_pt,28.375
IS/OOS,IS,long,hoved,,median_varighed_min,135.0
IS/OOS,IS,long,hoved,,median_z_start,-2.6467970685835547
IS/OOS,IS,long,hoved,,median_z_end,0.3621022755062584
IS/OOS,IS,long,hoved,,andel_overshoot,0.15178571428571427
IS/OOS,IS,long,hoved,,andel_swing,0.5714285714285714
IS/OOS,IS,long,fuld,1.5,E_T,1806.0
IS/OOS,IS,long,fuld,1.5,K_T,112.0
IS/OOS,IS,long,fuld,1.5,kontrol_hits,26.0
IS/OOS,IS,long,fuld,1.5,praecision,0.3570009866861441
IS/OOS,IS,long,fuld,1.5,basisrate,0.07521239380309845
IS/OOS,IS,long,fuld,1.5,lift,4.7465712581991655
IS/OOS,IS,long,fuld,1.5,lift_lo,3.112836080958604
IS/OOS,IS,long,fuld,1.5,lift_hi,7.2377530082548605
IS/OOS,IS,long,fuld,3.0,E_T,1030.0
IS/OOS,IS,long,fuld,3.0,K_T,72.0
IS/OOS,IS,long,fuld,3.0,kontrol_hits,26.0
IS/OOS,IS,long,fuld,3.0,praecision,0.22950063429823547
IS/OOS,IS,long,fuld,3.0,basisrate,0.0428952190571381
IS/OOS,IS,long,fuld,3.0,lift,5.350261389096341
IS/OOS,IS,long,fuld,3.0,lift_lo,3.438574933375037
IS/OOS,IS,long,fuld,3.0,lift_hi,8.324755890533625
IS/OOS,IS,long,fuld,4.0,E_T,689.0
IS/OOS,IS,long,fuld,4.0,K_T,56.0
IS/OOS,IS,long,fuld,4.0,kontrol_hits,26.0
IS/OOS,IS,long,fuld,4.0,praecision,0.17850049334307205
IS/OOS,IS,long,fuld,4.0,basisrate,0.028693986340163253
IS/OOS,IS,long,fuld,4.0,lift,6.220832868147817
IS/OOS,IS,long,fuld,4.0,lift_lo,3.9389474040549945
IS/OOS,IS,long,fuld,4.0,lift_hi,9.824645420141765
IS/OOS,IS,long,fuld,6.0,E_T,317.0
IS/OOS,IS,long,fuld,6.0,K_T,34.0
IS/OOS,IS,long,fuld,6.0,kontrol_hits,26.0
IS/OOS,IS,long,fuld,6.0,praecision,0.10837529952972232
IS/OOS,IS,long,fuld,6.0,basisrate,0.013201732467099783
IS/OOS,IS,long,fuld,6.0,lift,8.209172530939092
IS/OOS,IS,long,fuld,6.0,lift_lo,4.995708505763657
IS/OOS,IS,long,fuld,6.0,lift_hi,13.489680906116734
IS/OOS,IS,long,fuld,8.0,E_T,160.0
IS/OOS,IS,long,fuld,8.0,K_T,14.0
IS/OOS,IS,long,fuld,8.0,kontrol_hits,26.0
IS/OOS,IS,long,fuld,8.0,praecision,0.04462512333576801
IS/OOS,IS,long,fuld,8.0,basisrate,0.006663334999167083
IS/OOS,IS,long,fuld,8.0,lift,6.697115384615384
IS/OOS,IS,long,fuld,8.0,lift_lo,3.5688150318808467
IS/OOS,IS,long,fuld,8.0,lift_hi,12.567576092957212
IS/OOS,IS,long,hale,1.5,E_T,1806.0
IS/OOS,IS,long,hale,1.5,K_T,35.0
IS/OOS,IS,long,hale,1.5,kontrol_hits,7.0
IS/OOS,IS,long,hale,1.5,praecision,0.41437614526070293
IS/OOS,IS,long,hale,1.5,basisrate,0.07521239380309845
IS/OOS,IS,long,hale,1.5,lift,5.509413067552602
IS/OOS,IS,long,hale,1.5,lift_lo,2.4533629589142816
IS/OOS,IS,long,hale,1.5,lift_hi,12.372255087095695
IS/OOS,IS,long,hale,3.0,E_T,1030.0
IS/OOS,IS,long,hale,3.0,K_T,26.0
IS/OOS,IS,long,hale,3.0,kontrol_hits,7.0
IS/OOS,IS,long,hale,3.0,praecision,0.3078222793365222
IS/OOS,IS,long,hale,3.0,basisrate,0.0428952190571381
IS/OOS,IS,long,hale,3.0,lift,7.176144244105409
IS/OOS,IS,long,hale,3.0,lift_lo,3.1254470999301485
IS/OOS,IS,long,hale,3.0,lift_hi,16.476697434219286
IS/OOS,IS,long,hale,4.0,E_T,689.0
IS/OOS,IS,long,hale,4.0,K_T,22.0
IS/OOS,IS,long,hale,4.0,kontrol_hits,7.0
IS/OOS,IS,long,hale,4.0,praecision,0.26046500559244185
IS/OOS,IS,long,hale,4.0,basisrate,0.028693986340163253
IS/OOS,IS,long,hale,4.0,lift,9.077337756583038
IS/OOS,IS,long,hale,4.0,lift_lo,3.894949032952631
IS/OOS,IS,long,hale,4.0,lift_hi,21.15510627994657
IS/OOS,IS,long,hale,6.0,E_T,317.0
IS/OOS,IS,long,hale,6.0,K_T,17.0
IS/OOS,IS,long,hale,6.0,kontrol_hits,7.0
IS/OOS,IS,long,hale,6.0,praecision,0.20126841341234142
IS/OOS,IS,long,hale,6.0,basisrate,0.013201732467099783
IS/OOS,IS,long,hale,6.0,lift,15.245606128886886
IS/OOS,IS,long,hale,6.0,lift_lo,6.373255928089004
IS/OOS,IS,long,hale,6.0,lift_hi,36.46935080902143
IS/OOS,IS,long,hale,8.0,E_T,160.0
IS/OOS,IS,long,hale,8.0,K_T,8.0
IS/OOS,IS,long,hale,8.0,kontrol_hits,7.0
IS/OOS,IS,long,hale,8.0,praecision,0.09471454748816067
IS/OOS,IS,long,hale,8.0,basisrate,0.006663334999167083
IS/OOS,IS,long,hale,8.0,lift,14.214285714285715
IS/OOS,IS,long,hale,8.0,lift_lo,5.221252339911402
IS/OOS,IS,long,hale,8.0,lift_hi,38.69683080109004
IS/OOS,IS,short,hoved,,hverdage,261.0
IS/OOS,IS,short,hoved,,B,24012.0
IS/OOS,IS,short,hoved,,E,1743.0
IS/OOS,IS,short,hoved,,K,77.0
IS/OOS,IS,short,hoved,,Nb,1990.0
IS/OOS,IS,short,hoved,,nb,26.0
IS/OOS,IS,short,hoved,,n_signaler,77.0
IS/OOS,IS,short,hoved,,retning_hit,1.0
IS/OOS,IS,short,hoved,,retning_lo,0.9524815740035489
IS/OOS,IS,short,hoved,,retning_hi,1.0
IS/OOS,IS,short,hoved,,event_rate,0.04417670682730924
IS/OOS,IS,short,hoved,,kontrol_rate,0.01306532663316583
IS/OOS,IS,short,hoved,,enrichment,3.3812171763978993
IS/OOS,IS,short,hoved,,enr_lo,2.177866644654294
IS/OOS,IS,short,hoved,,enr_hi,5.249462643651881
IS/OOS,IS,short,hoved,,praecision,0.24543817834672405
IS/OOS,IS,short,hoved,,praec_lav,0.19635054267737923
IS/OOS,IS,short,hoved,,praec_hoej,0.32725090446229876
IS/OOS,IS,short,hoved,,basisrate,0.07258870564717641
IS/OOS,IS,short,hoved,,median_size_atr,3.2233558757481506
IS/OOS,IS,short,hoved,,median_size_pt,21.0
IS/OOS,IS,short,hoved,,median_varighed_min,90.0
IS/OOS,IS,short,hoved,,median_z_start,2.6319826073571235
IS/OOS,IS,short,hoved,,median_z_end,0.5971824711670396
IS/OOS,IS,short,hoved,,andel_overshoot,0.1038961038961039
IS/OOS,IS,short,hoved,,andel_swing,0.6753246753246753
IS/OOS,IS,short,fuld,1.5,E_T,1743.0
IS/OOS,IS,short,fuld,1.5,K_T,77.0
IS/OOS,IS,short,fuld,1.5,kontrol_hits,26.0
IS/OOS,IS,short,fuld,1.5,praecision,0.24543817834672405
IS/OOS,IS,short,fuld,1.5,basisrate,0.07258870564717641
IS/OOS,IS,short,fuld,1.5,lift,3.3812171763978993
IS/OOS,IS,short,fuld,1.5,lift_lo,2.177866644654294
IS/OOS,IS,short,fuld,1.5,lift_hi,5.249462643651881
IS/OOS,IS,short,fuld,3.0,E_T,1017.0
IS/OOS,IS,short,fuld,3.0,K_T,42.0
IS/OOS,IS,short,fuld,3.0,kontrol_hits,26.0
IS/OOS,IS,short,fuld,3.0,praecision,0.13387537000730404
IS/OOS,IS,short,fuld,3.0,basisrate,0.04235382308845577
IS/OOS,IS,short,fuld,3.0,lift,3.1608804175175855
IS/OOS,IS,short,fuld,3.0,lift_lo,1.9496073324712884
IS/OOS,IS,short,fuld,3.0,lift_hi,5.124706317749388
IS/OOS,IS,short,fuld,4.0,E_T,694.0
IS/OOS,IS,short,fuld,4.0,K_T,30.0
IS/OOS,IS,short,fuld,4.0,kontrol_hits,26.0
IS/OOS,IS,short,fuld,4.0,praecision,0.09562526429093145
IS/OOS,IS,short,fuld,4.0,basisrate,0.028902215558887223
IS/OOS,IS,short,fuld,4.0,lift,3.3085790290401245
IS/OOS,IS,short,fuld,4.0,lift_lo,1.9709420682034131
IS/OOS,IS,short,fuld,4.0,lift_hi,5.554042083734309
IS/OOS,IS,short,fuld,6.0,E_T,378.0
IS/OOS,IS,short,fuld,6.0,K_T,17.0
IS/OOS,IS,short,fuld,6.0,kontrol_hits,26.0
IS/OOS,IS,short,fuld,6.0,praecision,0.05418764976486116
IS/OOS,IS,short,fuld,6.0,basisrate,0.015742128935532233
IS/OOS,IS,short,fuld,6.0,lift,3.442205942205942
IS/OOS,IS,short,fuld,6.0,lift_lo,1.8865712650871689
IS/OOS,IS,short,fuld,6.0,lift_hi,6.280590597254977
IS/OOS,IS,short,fuld,8.0,E_T,214.0
IS/OOS,IS,short,fuld,8.0,K_T,6.0
IS/OOS,IS,short,fuld,8.0,kontrol_hits,26.0
IS/OOS,IS,short,fuld,8.0,praecision,0.01912505285818629
IS/OOS,IS,short,fuld,8.0,basisrate,0.008912210561385974
IS/OOS,IS,short,fuld,8.0,lift,2.145938173975557
IS/OOS,IS,short,fuld,8.0,lift_lo,0.893291549957635
IS/OOS,IS,short,fuld,8.0,lift_hi,5.155148558993921
IS/OOS,IS,short,hale,1.5,E_T,1743.0
IS/OOS,IS,short,hale,1.5,K_T,24.0
IS/OOS,IS,short,hale,1.5,kontrol_hits,5.0
IS/OOS,IS,short,hale,1.5,praecision,0.39780109945027486
IS/OOS,IS,short,hale,1.5,basisrate,0.07258870564717641
IS/OOS,IS,short,hale,1.5,lift,5.480206540447504
IS/OOS,IS,short,hale,1.5,lift_lo,2.0954746421458665
IS/OOS,IS,short,hale,1.5,lift_hi,14.33215326109063
IS/OOS,IS,short,hale,3.0,E_T,1017.0
IS/OOS,IS,short,hale,3.0,K_T,17.0
IS/OOS,IS,short,hale,3.0,kontrol_hits,5.0
IS/OOS,IS,short,hale,3.0,praecision,0.281775778777278
IS/OOS,IS,short,hale,3.0,basisrate,0.04235382308845577
IS/OOS,IS,short,hale,3.0,lift,6.652900688298918
IS/OOS,IS,short,hale,3.0,lift_lo,2.4615550135241646
IS/OOS,IS,short,hale,3.0,lift_hi,17.980945916378456
IS/OOS,IS,short,hale,4.0,E_T,694.0
IS/OOS,IS,short,hale,4.0,K_T,13.0
IS/OOS,IS,short,hale,4.0,kontrol_hits,5.0
IS/OOS,IS,short,hale,4.0,praecision,0.21547559553556556
IS/OOS,IS,short,hale,4.0,basisrate,0.028902215558887223
IS/OOS,IS,short,hale,4.0,lift,7.455331412103746
IS/OOS,IS,short,hale,4.0,lift_lo,2.667531876400843
IS/OOS,IS,short,hale,4.0,lift_hi,20.836476953105645
IS/OOS,IS,short,hale,6.0,E_T,378.0
IS/OOS,IS,short,hale,6.0,K_T,7.0
IS/OOS,IS,short,hale,6.0,kontrol_hits,5.0
IS/OOS,IS,short,hale,6.0,praecision,0.11602532067299683
IS/OOS,IS,short,hale,6.0,basisrate,0.015742128935532233
IS/OOS,IS,short,hale,6.0,lift,7.37037037037037
IS/OOS,IS,short,hale,6.0,lift_lo,2.3516361960102565
IS/OOS,IS,short,hale,6.0,lift_hi,23.09981428615353
IS/OOS,IS,short,hale,8.0,E_T,214.0
IS/OOS,IS,short,hale,8.0,K_T,2.0
IS/OOS,IS,short,hale,8.0,kontrol_hits,5.0
IS/OOS,IS,short,hale,8.0,praecision,0.03315009162085624
IS/OOS,IS,short,hale,8.0,basisrate,0.008912210561385974
IS/OOS,IS,short,hale,8.0,lift,3.719626168224299
IS/OOS,IS,short,hale,8.0,lift_lo,0.7260567170182586
IS/OOS,IS,short,hale,8.0,lift_hi,19.055837522113364
IS/OOS,OOS,long,hoved,,hverdage,262.0
IS/OOS,OOS,long,hoved,,B,24104.0
IS/OOS,OOS,long,hoved,,E,1905.0
IS/OOS,OOS,long,hoved,,K,111.0
IS/OOS,OOS,long,hoved,,Nb,1942.0
IS/OOS,OOS,long,hoved,,nb,29.0
IS/OOS,OOS,long,hoved,,n_signaler,112.0
IS/OOS,OOS,long,hoved,,retning_hit,0.9910714285714286
IS/OOS,OOS,long,hoved,,retning_lo,0.9511515311769158
IS/OOS,OOS,long,hoved,,retning_hi,0.9984221453141423
IS/OOS,OOS,long,hoved,,event_rate,0.05826771653543307
IS/OOS,OOS,long,hoved,,kontrol_rate,0.014933058702368692
IS/OOS,OOS,long,hoved,,enrichment,3.901927776269346
IS/OOS,OOS,long,hoved,,enr_lo,2.605546691115042
IS/OOS,OOS,long,hoved,,enr_hi,5.8433189561100125
IS/OOS,OOS,long,hoved,,praecision,0.3083792073428935
IS/OOS,OOS,long,hoved,,praec_lav,0.24670336587431477
IS/OOS,OOS,long,hoved,,praec_hoej,0.4111722764571913
IS/OOS,OOS,long,hoved,,basisrate,0.07903252572187189
IS/OOS,OOS,long,hoved,,median_size_atr,3.3310647278152
IS/OOS,OOS,long,hoved,,median_size_pt,23.75
IS/OOS,OOS,long,hoved,,median_varighed_min,90.0
IS/OOS,OOS,long,hoved,,median_z_start,-2.6970475612875364
IS/OOS,OOS,long,hoved,,median_z_end,-0.2718100773188158
IS/OOS,OOS,long,hoved,,andel_overshoot,0.05405405405405406
IS/OOS,OOS,long,hoved,,andel_swing,0.5495495495495496
IS/OOS,OOS,long,fuld,1.5,E_T,1905.0
IS/OOS,OOS,long,fuld,1.5,K_T,111.0
