split,halvdel,side,blok,taerskel_atr,metrik,vaerdi
IS/OOS,IS,long,hoved,,hverdage,261.0
IS/OOS,IS,long,hoved,,B,24012.0
IS/OOS,IS,long,hoved,,E,1806.0
IS/OOS,IS,long,hoved,,K,112.0
IS/OOS,IS,long,hoved,,Nb,14709.0
IS/OOS,IS,long,hoved,,nb,209.0
IS/OOS,IS,long,hoved,,n_signaler,114.0
IS/OOS,IS,long,hoved,,retning_hit,0.9824561403508771
IS/OOS,IS,long,hoved,,retning_lo,0.9382819730166376
IS/OOS,IS,long,hoved,,retning_hi,0.995175581262329
IS/OOS,IS,long,hoved,,event_rate,0.06201550387596899
IS/OOS,IS,long,hoved,,kontrol_rate,0.014208987694608743
IS/OOS,IS,long,hoved,,enrichment,4.3645265383331475
IS/OOS,IS,long,hoved,,enr_lo,3.4877394906347323
IS/OOS,IS,long,hoved,,enr_hi,5.46173014210634
IS/OOS,IS,long,hoved,,praecision,0.32826648876518677
IS/OOS,IS,long,hoved,,praec_lav,0.2626131910121494
IS/OOS,IS,long,hoved,,praec_hoej,0.43768865168691573
IS/OOS,IS,long,hoved,,basisrate,0.07521239380309845
IS/OOS,IS,long,hoved,,median_size_atr,3.986026897713031
IS/OOS,IS,long,hoved,,median_size_pt,28.375
IS/OOS,IS,long,hoved,,median_varighed_min,135.0
IS/OOS,IS,long,hoved,,median_z_start,-2.6467970685835547
IS/OOS,IS,long,hoved,,median_z_end,0.3621022755062584
IS/OOS,IS,long,hoved,,andel_overshoot,0.15178571428571427
IS/OOS,IS,long,hoved,,andel_swing,0.5714285714285714
IS/OOS,IS,long,fuld,1.5,E_T,1806.0
IS/OOS,IS,long,fuld,1.5,K_T,112.0
IS/OOS,IS,long,fuld,1.5,kontrol_hits,209.0
IS/OOS,IS,long,fuld,1.5,praecision,0.32826648876518677
IS/OOS,IS,long,fuld,1.5,basisrate,0.07521239380309845
IS/OOS,IS,long,fuld,1.5,lift,4.3645265383331475
IS/OOS,IS,long,fuld,1.5,lift_lo,3.4877394906347323
IS/OOS,IS,long,fuld,1.5,lift_hi,5.46173014210634
IS/OOS,IS,long,fuld,3.0,E_T,1030.0
IS/OOS,IS,long,fuld,3.0,K_T,72.0
IS/OOS,IS,long,fuld,3.0,kontrol_hits,209.0
IS/OOS,IS,long,fuld,3.0,praecision,0.21102845706333437
IS/OOS,IS,long,fuld,3.0,basisrate,0.0428952190571381
IS/OOS,IS,long,fuld,3.0,lift,4.919626515538626
IS/OOS,IS,long,fuld,3.0,lift_lo,3.792243031700834
IS/OOS,IS,long,fuld,3.0,lift_hi,6.382166134941969
IS/OOS,IS,long,fuld,4.0,E_T,689.0
IS/OOS,IS,long,fuld,4.0,K_T,56.0
IS/OOS,IS,long,fuld,4.0,kontrol_hits,209.0
IS/OOS,IS,long,fuld,4.0,praecision,0.16413324438259339
IS/OOS,IS,long,fuld,4.0,basisrate,0.028693986340163253
IS/OOS,IS,long,fuld,4.0,lift,5.720126943562891
IS/OOS,IS,long,fuld,4.0,lift_lo,4.302250450120781
IS/OOS,IS,long,fuld,4.0,lift_hi,7.605287658126824
IS/OOS,IS,long,fuld,6.0,E_T,317.0
IS/OOS,IS,long,fuld,6.0,K_T,34.0
IS/OOS,IS,long,fuld,6.0,kontrol_hits,209.0
IS/OOS,IS,long,fuld,6.0,praecision,0.09965232694657455
IS/OOS,IS,long,fuld,6.0,basisrate,0.013201732467099783
IS/OOS,IS,long,fuld,6.0,lift,7.548427995713402
IS/OOS,IS,long,fuld,6.0,lift_lo,5.346260752453016
IS/OOS,IS,long,fuld,6.0,lift_hi,10.657685407567591
IS/OOS,IS,long,fuld,8.0,E_T,160.0
IS/OOS,IS,long,fuld,8.0,K_T,14.0
IS/OOS,IS,long,fuld,8.0,kontrol_hits,209.0
IS/OOS,IS,long,fuld,8.0,praecision,0.041033311095648346
IS/OOS,IS,long,fuld,8.0,basisrate,0.006663334999167083
IS/OOS,IS,long,fuld,8.0,lift,6.1580741626794255
IS/OOS,IS,long,fuld,8.0,lift_lo,3.6678087245707314
IS/OOS,IS,long,fuld,8.0,lift_hi,10.33910987206623
IS/OOS,IS,long,hale,1.5,E_T,1806.0
IS/OOS,IS,long,hale,1.5,K_T,35.0
IS/OOS,IS,long,hale,1.5,kontrol_hits,49.0
IS/OOS,IS,long,hale,1.5,praecision,0.4375490826015564
IS/OOS,IS,long,hale,1.5,basisrate,0.07521239380309845
IS/OOS,IS,long,hale,1.5,lift,5.817513051732321
IS/OOS,IS,long,hale,1.5,lift_lo,3.7805457197300827
IS/OOS,IS,long,hale,1.5,lift_hi,8.952003392116684
IS/OOS,IS,long,hale,3.0,E_T,1030.0
IS/OOS,IS,long,hale,3.0,K_T,26.0
IS/OOS,IS,long,hale,3.0,kontrol_hits,49.0
IS/OOS,IS,long,hale,3.0,praecision,0.32503646136115616
IS/OOS,IS,long,hale,3.0,basisrate,0.0428952190571381
IS/OOS,IS,long,hale,3.0,lift,7.577451951654448
IS/OOS,IS,long,hale,3.0,lift_lo,4.729615845239696
IS/OOS,IS,long,hale,3.0,lift_hi,12.140051107411212
IS/OOS,IS,long,hale,4.0,E_T,689.0
IS/OOS,IS,long,hale,4.0,K_T,22.0
IS/OOS,IS,long,hale,4.0,kontrol_hits,49.0
IS/OOS,IS,long,hale,4.0,praecision,0.2750308519209783
IS/OOS,IS,long,hale,4.0,basisrate,0.028693986340163253
IS/OOS,IS,long,hale,4.0,lift,9.584964900328782
IS/OOS,IS,long,hale,4.0,lift_lo,5.8300842094385
IS/OOS,IS,long,hale,4.0,lift_hi,15.758186132509225
IS/OOS,IS,long,hale,6.0,E_T,317.0
IS/OOS,IS,long,hale,6.0,K_T,17.0
IS/OOS,IS,long,hale,6.0,kontrol_hits,49.0
IS/OOS,IS,long,hale,6.0,praecision,0.21252384012075595
IS/OOS,IS,long,hale,6.0,basisrate,0.013201732467099783
IS/OOS,IS,long,hale,6.0,lift,16.098178072490825
IS/OOS,IS,long,hale,6.0,lift_lo,9.377834297648116
IS/OOS,IS,long,hale,6.0,lift_hi,27.634454718251686
IS/OOS,IS,long,hale,8.0,E_T,160.0
IS/OOS,IS,long,hale,8.0,K_T,8.0
IS/OOS,IS,long,hale,8.0,kontrol_hits,49.0
IS/OOS,IS,long,hale,8.0,praecision,0.10001121888035575
IS/OOS,IS,long,hale,8.0,basisrate,0.006663334999167083
IS/OOS,IS,long,hale,8.0,lift,15.009183673469389
IS/OOS,IS,long,hale,8.0,lift_lo,7.226087137687707
IS/OOS,IS,long,hale,8.0,lift_hi,31.17532216972775
IS/OOS,IS,short,hoved,,hverdage,261.0
IS/OOS,IS,short,hoved,,B,24012.0
IS/OOS,IS,short,hoved,,E,1743.0
IS/OOS,IS,short,hoved,,K,77.0
IS/OOS,IS,short,hoved,,Nb,14709.0
IS/OOS,IS,short,hoved,,nb,170.0
IS/OOS,IS,short,hoved,,n_signaler,77.0
IS/OOS,IS,short,hoved,,retning_hit,1.0
IS/OOS,IS,short,hoved,,retning_lo,0.9524815740035489
IS/OOS,IS,short,hoved,,retning_hi,1.0
IS/OOS,IS,short,hoved,,event_rate,0.04417670682730924
IS/OOS,IS,short,hoved,,kontrol_rate,0.011557549799442518
IS/OOS,IS,short,hoved,,enrichment,3.8223245924875977
IS/OOS,IS,short,hoved,,enr_lo,2.9336410880966017
IS/OOS,IS,short,hoved,,enr_hi,4.980215660878547
IS/OOS,IS,short,hoved,,praecision,0.2774575947320458
IS/OOS,IS,short,hoved,,praec_lav,0.2219660757856366
IS/OOS,IS,short,hoved,,praec_hoej,0.36994345964272773
IS/OOS,IS,short,hoved,,basisrate,0.07258870564717641
IS/OOS,IS,short,hoved,,median_size_atr,3.2233558757481506
IS/OOS,IS,short,hoved,,median_size_pt,21.0
IS/OOS,IS,short,hoved,,median_varighed_min,90.0
IS/OOS,IS,short,hoved,,median_z_start,2.6319826073571235
IS/OOS,IS,short,hoved,,median_z_end,0.5971824711670396
IS/OOS,IS,short,hoved,,andel_overshoot,0.1038961038961039
IS/OOS,IS,short,hoved,,andel_swing,0.6753246753246753
IS/OOS,IS,short,fuld,1.5,E_T,1743.0
IS/OOS,IS,short,fuld,1.5,K_T,77.0
IS/OOS,IS,short,fuld,1.5,kontrol_hits,170.0
IS/OOS,IS,short,fuld,1.5,praecision,0.2774575947320458
IS/OOS,IS,short,fuld,1.5,basisrate,0.07258870564717641
IS/OOS,IS,short,fuld,1.5,lift,3.8223245924875977
IS/OOS,IS,short,fuld,1.5,lift_lo,2.9336410880966017
IS/OOS,IS,short,fuld,1.5,lift_hi,4.980215660878547
IS/OOS,IS,short,fuld,3.0,E_T,1017.0
IS/OOS,IS,short,fuld,3.0,K_T,42.0
IS/OOS,IS,short,fuld,3.0,kontrol_hits,170.0
IS/OOS,IS,short,fuld,3.0,praecision,0.1513405062174795
IS/OOS,IS,short,fuld,3.0,basisrate,0.04235382308845577
IS/OOS,IS,short,fuld,3.0,lift,3.5732431025507547
IS/OOS,IS,short,fuld,3.0,lift_lo,2.564538147200224
IS/OOS,IS,short,fuld,3.0,lift_hi,4.978700076606693
IS/OOS,IS,short,fuld,4.0,E_T,694.0
IS/OOS,IS,short,fuld,4.0,K_T,30.0
IS/OOS,IS,short,fuld,4.0,kontrol_hits,170.0
IS/OOS,IS,short,fuld,4.0,praecision,0.10810036158391394
IS/OOS,IS,short,fuld,4.0,basisrate,0.028902215558887223
IS/OOS,IS,short,fuld,4.0,lift,3.7402102051195123
IS/OOS,IS,short,fuld,4.0,lift_lo,2.5562757959072897
IS/OOS,IS,short,fuld,4.0,lift_hi,5.472481647276647
IS/OOS,IS,short,fuld,6.0,E_T,378.0
IS/OOS,IS,short,fuld,6.0,K_T,17.0
IS/OOS,IS,short,fuld,6.0,kontrol_hits,170.0
IS/OOS,IS,short,fuld,6.0,praecision,0.06125687156421789
IS/OOS,IS,short,fuld,6.0,basisrate,0.015742128935532233
IS/OOS,IS,short,fuld,6.0,lift,3.891269841269841
IS/OOS,IS,short,fuld,6.0,lift_lo,2.3886739439288314
IS/OOS,IS,short,fuld,6.0,lift_hi,6.339074035643001
IS/OOS,IS,short,fuld,8.0,E_T,214.0
IS/OOS,IS,short,fuld,8.0,K_T,6.0
IS/OOS,IS,short,fuld,8.0,kontrol_hits,170.0
IS/OOS,IS,short,fuld,8.0,praecision,0.021620072316782788
IS/OOS,IS,short,fuld,8.0,basisrate,0.008912210561385974
IS/OOS,IS,short,fuld,8.0,lift,2.425893347993403
IS/OOS,IS,short,fuld,8.0,lift_lo,1.0868814297329679
IS/OOS,IS,short,fuld,8.0,lift_hi,5.4145359142666525
IS/OOS,IS,short,hale,1.5,E_T,1743.0
IS/OOS,IS,short,hale,1.5,K_T,24.0
IS/OOS,IS,short,hale,1.5,kontrol_hits,38.0
IS/OOS,IS,short,hale,1.5,praecision,0.386885504616113
IS/OOS,IS,short,hale,1.5,basisrate,0.07258870564717641
IS/OOS,IS,short,hale,1.5,lift,5.32983060059788
IS/OOS,IS,short,hale,1.5,lift_lo,3.2049834296694337
IS/OOS,IS,short,hale,1.5,lift_hi,8.863413759989239
IS/OOS,IS,short,hale,3.0,E_T,1017.0
IS/OOS,IS,short,hale,3.0,K_T,17.0
IS/OOS,IS,short,hale,3.0,kontrol_hits,38.0
IS/OOS,IS,short,hale,3.0,praecision,0.27404389910308
IS/OOS,IS,short,hale,3.0,basisrate,0.04235382308845577
IS/OOS,IS,short,hale,3.0,lift,6.470346219531128
IS/OOS,IS,short,hale,3.0,lift_lo,3.665190986865773
IS/OOS,IS,short,hale,3.0,lift_hi,11.422428012789926
IS/OOS,IS,short,hale,4.0,E_T,694.0
IS/OOS,IS,short,hale,4.0,K_T,13.0
IS/OOS,IS,short,hale,4.0,kontrol_hits,38.0
IS/OOS,IS,short,hale,4.0,praecision,0.2095629816670612
IS/OOS,IS,short,hale,4.0,basisrate,0.028902215558887223
IS/OOS,IS,short,hale,4.0,lift,7.250758380100105
IS/OOS,IS,short,hale,4.0,lift_lo,3.880534567617628
IS/OOS,IS,short,hale,4.0,lift_hi,13.548003804761438
IS/OOS,IS,short,hale,6.0,E_T,378.0
IS/OOS,IS,short,hale,6.0,K_T,7.0
IS/OOS,IS,short,hale,6.0,kontrol_hits,38.0
IS/OOS,IS,short,hale,6.0,praecision,0.11284160551303296
IS/OOS,IS,short,hale,6.0,basisrate,0.015742128935532233
IS/OOS,IS,short,hale,6.0,lift,7.16812865497076
IS/OOS,IS,short,hale,6.0,lift_lo,3.2219612403627633
IS/OOS,IS,short,hale,6.0,lift_hi,15.947450816766423
IS/OOS,IS,short,hale,8.0,E_T,214.0
IS/OOS,IS,short,hale,8.0,K_T,2.0
IS/OOS,IS,short,hale,8.0,kontrol_hits,38.0
IS/OOS,IS,short,hale,8.0,praecision,0.032240458718009415
IS/OOS,IS,short,hale,8.0,basisrate,0.008912210561385974
IS/OOS,IS,short,hale,8.0,lift,3.617560255779636
IS/OOS,IS,short,hale,8.0,lift_lo,0.8783685882627
IS/OOS,IS,short,hale,8.0,lift_hi,14.898918721672773
IS/OOS,OOS,long,hoved,,hverdage,262.0
IS/OOS,OOS,long,hoved,,B,24104.0
IS/OOS,OOS,long,hoved,,E,1905.0
IS/OOS,OOS,long,hoved,,K,111.0
IS/OOS,OOS,long,hoved,,Nb,14791.0
IS/OOS,OOS,long,hoved,,nb,171.0
IS/OOS,OOS,long,hoved,,n_signaler,112.0
IS/OOS,OOS,long,hoved,,retning_hit,0.9910714285714286
IS/OOS,OOS,long,hoved,,retning_lo,0.9511515311769158
IS/OOS,OOS,long,hoved,,retning_hi,0.9984221453141423
IS/OOS,OOS,long,hoved,,event_rate,0.05826771653543307
IS/OOS,OOS,long,hoved,,kontrol_rate,0.011561084443242513
IS/OOS,OOS,long,hoved,,enrichment,5.039987106874798
IS/OOS,OOS,long,hoved,,enr_lo,3.9881110017886123
IS/OOS,OOS,long,hoved,,enr_hi,6.369298654443669
IS/OOS,OOS,long,hoved,,praecision,0.39832291066198516
IS/OOS,OOS,long,hoved,,praec_lav,0.31865832852958814
IS/OOS,OOS,long,hoved,,praec_hoej,0.5310972142159802
IS/OOS,OOS,long,hoved,,basisrate,0.07903252572187189
IS/OOS,OOS,long,hoved,,median_size_atr,3.3310647278152
IS/OOS,OOS,long,hoved,,median_size_pt,23.75
IS/OOS,OOS,long,hoved,,median_varighed_min,90.0
IS/OOS,OOS,long,hoved,,median_z_start,-2.6970475612875364
IS/OOS,OOS,long,hoved,,median_z_end,-0.2718100773188158
IS/OOS,OOS,long,hoved,,andel_overshoot,0.05405405405405406
IS/OOS,OOS,long,hoved,,andel_swing,0.5495495495495496
IS/OOS,OOS,long,fuld,1.5,E_T,1905.0
IS/OOS,OOS,long,fuld,1.5,K_T,111.0
