Symbol,Exchange,MarketCap,Price,AvgVol90d,Sector
ABM,NYSE,2586347759,44.15,573211.5444444445,Commercial services
ACRS,NASDAQ,628486565,4.5,1666724.4333333333,Health technology
ACVA,NYSE,1131310056.0000002,6.48,3475983.855555556,Technology services
ADTN,NASDAQ,1229551187,15.18,2302950.2444444443,Electronic technology
AIP,NASDAQ,2036646146.0000002,44.11,771801.3,Electronic technology
ALNT,NASDAQ,1629115597,95.85,213542.43333333332,Producer manufacturing
ALRM,NASDAQ,2195060715,44.38,499948.97777777776,Technology services
AMRZ,NYSE,30593934648.999992,55.35,3223902.855555556,Non-energy minerals
ANF,NYSE,3876222223.9999995,87.24,1388541.5222222223,Retail trade
ARCO,NYSE,1781426643,8.55,1274222.8666666667,Consumer services
ARDX,NASDAQ,1494527847,6.05,3770230.1222222224,Health technology
ARKO,NASDAQ,840271035,7.49,893169.0111111111,Retail trade
ARQT,NASDAQ,3278435119,26.21,1575787.1666666667,Health technology
ASC,NYSE,696500580,17.07,711880.3222222222,Transportation
ASST,NASDAQ,1177349746,14.85,4116139.0666666687,Miscellaneous
ATRC,NASDAQ,1458459849.0000002,28.8,802616.9777777778,Health technology
AUR,NASDAQ,12316355720,6.28,24825911.777777776,Technology services
AXIA,NYSE,22755537073.5566,9.98,2448521.155555556,Utilities
AZTA,NASDAQ,1074423236.0000002,23.31,1076728.0777777778,Health services
B,NYSE,67590011945.812195,40.34,13674555.644444445,Non-energy minerals
BAC,NYSE,398828382074,56.2,39504621.733333334,Finance
BAH,NYSE,7958822719,66.36,1963903.9888888889,Commercial services
BBOT,NASDAQ,605609682.0000001,7.56,357560.76666666666,Health technology
BCAX,NASDAQ,1526300755.0000002,23.23,566340.9222222222,Health technology
BCH,NYSE,20386440523.871784,40.21,403239.52222222224,Finance
BF.A,NYSE,12224143142,26.64,233983.38888888888,Consumer non-durables
BHP,NYSE,231578013371.45282,87.87,3252092.033333333,Non-energy minerals
BHVN,NYSE,2043112580,13.57,2431887.7666666666,Health technology
BIOA,NASDAQ,923283345,20.77,486141.4,Health technology
BIRK,NYSE,8479908857,46.11,2557705.433333333,Consumer non-durables
BLDP,NASDAQ,1317449340.7540455,4.37,6550517.544444445,Producer manufacturing
BLFS,NASDAQ,1272247112,26.04,520914.8222222222,Health technology
BORR,NYSE,1298498366,4.22,8240778.955555555,Industrial services
BROS,NYSE,11653498191,70.72,4522933.888888889,Consumer services
BRSP,NYSE,721740452,5.54,980443.1333333333,Finance
BSTZ,NYSE,2137257177.9999998,31.09,209478.75555555554,Miscellaneous
BTDR,NASDAQ,4362613797,17.93,9175497.344444444,Technology services
BUR,NYSE,992384000,4.53,3458682.888888889,Finance
BVS,NASDAQ,727587971,8.71,507962.84444444446,Health technology
BWA,NYSE,14735456859,71.84,3246818.7555555557,Producer manufacturing
BXP,NYSE,10318186418,64.7,2236544.9111111113,Finance
CAG,NYSE,6315370478,13.2,14986305.722222222,Consumer non-durables
CBC,NASDAQ,6768654989,28.23,672898.4555555555,Finance
CBL,NYSE,1466781551.0000002,47.4,204006.3777777778,Finance
CCEP,NASDAQ,42961084124,96.93,1923195.3444444444,Consumer non-durables
CCS,NYSE,1819658615.9999998,63.25,301878.36666666664,Consumer durables
CG,NASDAQ,16126854021.999998,44.8,3361767.7333333334,Finance
CIFR,NASDAQ,11936055616,29.18,26115744.055555556,Technology services
CLDT,NYSE,623661046,13.36,363848.86666666664,Finance
CLFD,NASDAQ,549693682,40.45,228396.01111111112,Electronic technology
CLSK,NASDAQ,4423932413.000001,17.24,21356005.166666668,Technology services
CLX,NYSE,11584265562,95.8,2629187,Consumer non-durables
CMPS,NASDAQ,1690588850,12.53,4237905.4,Health technology
CNK,NYSE,3942754510,33.76,2270810.922222222,Consumer services
CNO,NYSE,4744904584,50.83,707469.4555555555,Finance
COGT,NASDAQ,5901780746.000001,34.54,2083135.4333333333,Health technology
COMP,NYSE,7580328020,10.01,15566540.655555556,Finance
CORT,NASDAQ,8578466191,79.91,1486942.1555555556,Health technology
CRI,NYSE,1567603999,42.54,1150409.9444444445,Retail trade
CRMD,NASDAQ,680177884,8.67,1356475.2333333334,Health technology
CRON,NASDAQ,1012624043.2285715,2.71,1387975,Health technology
CRTO,NASDAQ,873711571,17.44,393831.4111111111,Commercial services
CRVS,NASDAQ,1001516931.9999999,11.91,1417614.0777777778,Health technology
CSIQ,NASDAQ,1103378174,16.27,2712821.144444444,Electronic technology
CSTL,NASDAQ,640568576,21.12,393252.9111111111,Health technology
CSTM,NYSE,4629115356.000001,34,2382359.277777778,Non-energy minerals
CSWC,NASDAQ,1427993901,22.98,651911.4333333333,Miscellaneous
CUBE,NYSE,9196921002,40.62,2329779.4111111113,Finance
CWEN,NYSE,7681124972,37.42,1080557.6666666667,Utilities
CWH,NYSE,799169737,7.76,3179466.577777778,Retail trade
CXM,NYSE,1180555311.0000002,5.04,3832453.3777777776,Technology services
CZR,NASDAQ,5951926063,29.22,6718631.822222223,Consumer services
DBD,NYSE,2902205387,83.81,402131.5777777778,Electronic technology
DD,NYSE,19557346073,47.71,3987516.6777777723,Process industries
DEO,NYSE,44895475361.26401,80.45,1692673.4333333333,Consumer non-durables
DLB,NYSE,4950319547,52.33,762266.7222222222,Technology services
DNA,NYSE,599025589,9.17,1227310.5000000016,Health services
DOO,NASDAQ,4352280100.831909,59.52,402853.0111111111,Producer manufacturing
